state_abbrev,fips,state,coal,burritos,other3,other4
AL,1,Alabama,2913,93226,132,24
AK,2,Alaska,1851,59228,84,15
AZ,4,Arizona,900,28809,41,8
AR,5,Arkansas,2936,93968,133,24
CA,6,California,775,24788,35,6
CO,8,Colorado,946,30272,43,8
CT,9,Connecticut,622,19913,28,5
DE,10,Delaware,353,11305,16,3
DC,11,District Of Columbia,2607,83435,119,22
FL,12,Florida,771,24663,35,6
GA,13,Georgia,720,23031,33,6
HI,15,Hawaii,1687,53973,77,14
ID,16,Idaho,819,26205,37,7
IL,17,Illinois,1781,56986,81,15
IN,18,Indiana,1720,55039,78,14
IA,19,Iowa,1486,47550,68,12
KS,20,Kansas,1799,57579,82,15
KY,21,Kentucky,2682,85835,122,22
LA,22,Louisiana,2318,74168,105,19
ME,23,Maine,957,30616,43,8
MD,24,Maryland,667,21331,30,6
MA,25,Massachusetts,1953,62482,89,16
MI,26,Michigan,1763,56415,80,15
MN,27,Minnesota,1812,57971,82,15
MS,28,Mississippi,1116,35723,51,9
MO,29,Missouri,2623,83944,119,22
MT,30,Montana,640,20480,29,5
NE,31,Nebraska,319,10196,14,3
NV,32,Nevada,44,1403,2,0
NH,33,New Hampshire,1481,47386,67,12
NJ,34,New Jersey,1301,41616,59,11
NM,35,New Mexico,2790,89293,127,23
NY,36,New York,1905,60972,87,16
NC,37,North Carolina,2568,82167,117,21
ND,38,North Dakota,2528,80883,115,21
OH,39,Ohio,475,15214,22,4
OK,40,Oklahoma,637,20381,29,5
OR,41,Oregon,68,2167,3,1
PA,42,Pennsylvania,2259,72297,103,19
RI,44,Rhode Island,227,7256,10,2
SC,45,South Carolina,2192,70135,100,18
SD,46,South Dakota,2975,95214,135,25
TN,47,Tennessee,635,20305,29,5
TX,48,Texas,118,3780,5,1
UT,49,Utah,1319,42218,60,11
VT,50,Vermont,2780,88968,126,23
VA,51,Virginia,2779,88923,126,23
WA,53,Washington,2681,85783,122,22
WV,54,West Virginia,643,20562,29,5
WI,55,Wisconsin,1450,46395,66,12
WY,56,Wyoming,1925,61585,87,16
